Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,
6,23,0.016457314,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.165164166,0.190913216,0.214221889,,148.6477494
7,0,0.015653193,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.163951661,0.18889659,0.191735253,,147.5564949
7,1,0.015653193,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.16394534,0.188890269,0.183537887,,147.550806
7,2,0.015653193,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.163939018,0.188883947,0.19856062,,147.5451162
7,3,0.016457285,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.165138835,0.190887856,0.182785833,,148.6249515
7,4,0.018065557,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.167544921,0.194902214,0.20879537,,150.7904289
7,5,0.021281836,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.172363019,0.202936591,0.194929883,,155.1267171
7,6,0.020079604,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170553348,0.199924688,0.176668518,,153.4980132
7,7,0.01951752,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169703901,0.198513157,0.192283623,,
7,8,0.017105244,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.166079165,0.192476145,0.207079731,,
7,9,0.013888877,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.161248291,0.184428904,0.165001196,,
7,10,0.018525495,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.168196896,0.196014127,0.191843728,,
7,11,0.036323496,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.194887577,0.240502809,0.259654467,,
7,12,0.031019121,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.186924692,0.227235549,0.258437507,,
7,13,0.038600294,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.198290129,0.246182159,0.218580006,,
7,14,0.028604892,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.183290706,0.221187334,0.203235898,,
7,15,0.017105244,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.166034912,0.192431892,0.198655351,,
7,16,0.033974935,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.191333126,0.234599797,0.244548794,,
7,17,0.020079604,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170483807,0.199855147,0.173334367,,
7,18,0.021281836,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.172280834,0.202854406,0.217277503,,
7,19,0.021281836,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.172274513,0.202848085,0.22061524,,
7,20,0.019673741,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169856047,0.198821524,0.198955943,,
7,21,0.018065469,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.167437318,0.194794523,0.210956946,,
7,22,0.016457285,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.165018719,0.19076774,0.183023088,,
7,23,0.015653193,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.163806259,0.188751188,0.208499988,,
